,date,source,title,author,url
0,2023-01-22T17:12:21Z,"{'id': 'fox-news', 'name': 'Fox News'}",Terror watch list arrests have exploded at the border under Biden,Anders Hagstrom,https://www.foxnews.com/politics/terror-watch-lists-arrests-exploded-border-biden
1,2023-01-23T22:15:17Z,"{'id': 'fox-news', 'name': 'Fox News'}",White House: Biden takes classified info 'very seriously' as more docs turn up: 'searched their sock drawer',Paul Best,https://www.foxnews.com/politics/white-house-biden-takes-classified-info-very-seriously-more-docs-turn-up-searched-sock-drawer
2,2023-01-26T22:36:26Z,"{'id': 'fox-news', 'name': 'Fox News'}","‘White’ federal workers would no longer include Middle Eastern, North African heritage under new Biden plan",Peter Kasperowicz,https://www.foxnews.com/politics/white-federal-workers-no-longer-include-middle-eastern-north-african-heritage-under-biden-plan
3,2023-01-31T18:19:29Z,"{'id': 'fox-news', 'name': 'Fox News'}","FBI searched Penn Biden Center in mid-November, soon after classified docs discovered, sources say","David Spunt, Jake Gibson, Chris Pandolfo",https://www.foxnews.com/politics/fbi-searched-penn-biden-center-mid-november-classified-docs-discovered-sources-say
4,2023-02-01T01:45:42Z,"{'id': 'fox-news', 'name': 'Fox News'}",Biden grabs NBC reporter's hand as he steps underneath her umbrella to answer her question,Joseph Wulfsohn,https://www.foxnews.com/media/biden-grabs-nbc-reporters-hand-steps-underneath-her-umbrella
5,2023-02-01T12:30:47Z,"{'id': 'fox-news', 'name': 'Fox News'}",Twitter users baffled by Biden claiming 'Supreme Court' will end COVID emergency: 'Sounds like science to me',Alexander Hall,https://www.foxnews.com/media/twitter-users-baffled-biden-claiming-supreme-court-end-covid-emergency-sounds-science
6,2023-01-10T20:27:53Z,"{'id': 'fox-news', 'name': 'Fox News'}",Fox News Politics: Disorder in the House?,Fox News Staff,https://www.foxnews.com/politics/fox-news-politics-disorder-house
7,2023-01-05T04:00:57Z,"{'id': 'fox-news', 'name': 'Fox News'}",Former lawmaker Justin Amash mocked for suggesting he should be speaker: 'We've seen it all folks',Joe Silverstein,https://www.foxnews.com/media/former-lawmaker-justin-amash-mocked-suggesting-should-speaker
8,2023-01-16T10:00:35Z,"{'id': 'fox-news', 'name': 'Fox News'}",Sen. Ron Johnson battles Chuck Todd over Hunter Biden in tense exchange: ‘Part of the problem’,Lindsay Kornick,https://www.foxnews.com/media/sen-ron-johnson-battles-chuck-todd-hunter-biden-tense-exchange-part-problem
9,2023-01-05T17:41:14Z,"{'id': 'fox-news', 'name': 'Fox News'}",McCarthy appears to lose 7th speaker ballot despite offering more concessions to defectors,Jessica Chasmar,https://www.foxnews.com/politics/mccarthy-appears-lose-7th-speaker-ballot-despite-offering-more-concessions-defectors
10,2023-01-18T17:52:43Z,"{'id': 'fox-news', 'name': 'Fox News'}",GOP moves to protect Mount Rushmore from activists looking to rename it or tear it down,Peter Kasperowicz,https://www.foxnews.com/politics/gop-moves-protect-mount-rushmore-activists-rename-tear-down
