,title,url,source,news_desk,type_of_material,first_paragraph,date,word_count,day_of_week
0,A Grass-Roots Republican Reflects on 2021,https://www.nytimes.com/2022/01/01/opinion/trigger-warning-its-my-brothers-turn-again.html,New York Times,OpEd,Op-Ed,I have gotten emails asking me not to run my brother Kevin’s annual column this past year. And I have gotten emails asking me to please run Kevin’s column. I prefer to let people know what Republicans like Kevin are thinking. So here he is:,2022-01-01 14:00:05+00:00,963.0,Saturday
1,Every Day Is Jan. 6 Now,https://www.nytimes.com/2022/01/01/opinion/january-6-attack-committee.html,New York Times,Editorial,Editorial,"This article is part of a collection on the events of Jan. 6, one year later. Read more in a note from Times Opinion’s politics editor Ezekiel Kweku in our Opinion Today newsletter.",2022-01-01 16:00:06+00:00,1508.0,Saturday
2,"As Jan. 6 Anniversary Nears, Panel Faces Tough Questions",https://www.nytimes.com/2022/01/02/us/politics/jan-6-capitol-riot-anniversary.html,New York Times,Washington,News,Follow our live updates on the Jan. 6 Capitol Attack Anniversary.,2022-01-03 00:21:31+00:00,1315.0,Monday
3,We’re Not a Real Democracy. That’s Why Jan. 6 Happened.   ,https://www.nytimes.com/2022/01/03/opinion/us-democracy-constitution.html,New York Times,OpEd,Op-Ed,"This article is part of a collection on the events of Jan. 6, one year later. Read more in a note from Times Opinion’s politics editor Ezekiel Kweku in our Opinion Today newsletter.",2022-01-03 10:00:07+00:00,1713.0,Monday
4,"By Endorsing Orban, Trump Returns a Favor",https://www.nytimes.com/2022/01/03/us/politics/trump-endorses-viktor-orban-hungary.html,New York Times,Politics,News,"Former President Donald J. Trump endorsed Hungary’s prime minister, Viktor Orban, on Monday, formally pledging his “complete support” to a far-right foreign leader who has touted turning his country into an “illiberal state.”",2022-01-03 15:19:22+00:00,334.0,Monday
5,New York Attorney General Seeks Trump Children for Fraud Inquiry,https://www.nytimes.com/2022/01/03/nyregion/letitia-james-ivanka-donald-trump-jr-subpoena.html,New York Times,Metro,News,"The New York State attorney general’s office, which last month subpoenaed Donald J. Trump as part of a civil investigation into his business practices, is also seeking to question two of his adult children as part of the inquiry.",2022-01-03 16:19:03+00:00,846.0,Monday
6,Prosecute Trump for the Coup Attempt?,https://www.nytimes.com/2022/01/03/opinion/letters/donald-trump-jan-6.html,New York Times,Letters,Letter,To the Editor:,2022-01-03 19:30:46+00:00,1175.0,Monday
7,Jan. 6 Inquiry Turns Its Focus To New Group,https://www.nytimes.com/2022/01/03/us/politics/first-amendment-praetorian-trump-jan-6.html,New York Times,Washington,News,"Days after a pro-Trump mob stormed the Capitol on Jan. 6 last year, federal law enforcement officials pursued two high-profile extremist groups: the far-right nationalist Proud Boys and the Oath Keepers militia. Members of both organizations were quickly arrested on attention-grabbing charges, accused of plotting to interfere with the certification of the 2020 vote count.",2022-01-03 21:24:12+00:00,1547.0,Monday
8,How the Jan. 6 Committee’s Search for Criminality Could Play Out,https://www.nytimes.com/2022/01/03/us/politics/capitol-riot-january-6.html,New York Times,Washington,News,WASHINGTON — The House committee investigating the Jan. 6 attack on the Capitol is in the early stages of considering whether to make criminal referrals to the Justice Department that would urge prosecuting former President Donald J. Trump or his allies.,2022-01-03 23:53:39+00:00,1069.0,Monday
9,A Top Official  For Elections  Since 1976  Set to Retire,https://www.nytimes.com/2022/01/03/us/politics/bill-gardner-retires.html,New York Times,Politics,News,"Bill Gardner, who for decades as secretary of state has fiercely defended New Hampshire’s right to hold the country’s first presidential primaries, said on Monday that he would step down after 45 years.",2022-01-04 00:05:55+00:00,610.0,Tuesday
10,Investigation of Riot  Picks Up Momentum,https://www.nytimes.com/2022/01/04/us/politics/capitol-riot-panel.html,New York Times,Washington,News,Follow live updates on the House committee hearing on the Jan. 6 attack on the Capitol.,2022-01-04 10:00:12+00:00,1609.0,Tuesday
11,,https://www.nytimes.com/2022/01/04/opinion/trump-2024.html,New York Times,OpEd,Op-Ed,"This article is part of a collection on the events of Jan. 6, one year later. Read more in a note from Times Opinion’s politics editor Ezekiel Kweku in our Opinion Today newsletter.",2022-01-04 10:00:14+00:00,1523.0,Tuesday
12,Trump Isn’t the Only One to Blame,https://www.nytimes.com/2022/01/04/opinion/capitol-riot.html,New York Times,OpEd,Op-Ed,"This article is part of a collection on the events of Jan. 6, one year later. Read more in a note from Times Opinion’s politics editor Ezekiel Kweku in our Opinion Today newsletter.",2022-01-04 10:00:14+00:00,1369.0,Tuesday
13,The Scars of January 6,https://www.nytimes.com/2022/01/04/magazine/jan-6-capitol-police-officers.html,New York Times,Magazine,News,"On the morning of Jan. 6, Caroline Edwards, a 31-year-old United States Capitol Police officer, was stationed by some stairs on the Capitol grounds when the energy of the crowd in front of her seemed to take on a different shape; it was like that moment when rain suddenly becomes hail. A loud, sour-sounding horn bleated, piercing through the noise of the crowd, whose cries coalesced into an accusatory chant: “U.S.A.! U.S.A.!” Edwards, who is 5-foot-4, tried to make herself look imposing. Behind a row of bike racks, alongside four other officers, she stood in a wide stance, her hands on her hips. A man in front of her whipped off his jacket as if he were getting ready for something, flipped his red MAGA hat backward — and then the rioters were pushing the bike racks forward as the officers pushed back, trying to hold their balance.",2022-01-04 10:00:20+00:00,11604.0,Tuesday
14,Trump Political Operation Kicks Into Gear Ahead of Midterms and Possible ’24 Bid,https://www.nytimes.com/2022/01/04/us/politics/donald-trump-midterm-elections.html,New York Times,Politics,News,"Donald J. Trump and his allies are scheduling events and raising money for initiatives intended to make the former president a central player in the midterm elections, and possibly to set the stage for another run for the White House.",2022-01-04 16:49:39+00:00,1272.0,Tuesday
15,Misinformation Surged on Podcasts Before Capitol Attack,https://www.nytimes.com/2022/01/04/technology/apple-google-spotify-podcast-election-misinformation.html,New York Times,Business,News,"Weeks before the 2020 presidential election, the conservative broadcaster Glenn Beck outlined his prediction for how Election Day would unfold: President Donald J. Trump would be winning that night, but his lead would erode as dubious mail-in ballots arrived, giving Joseph R. Biden Jr. an unlikely edge.",2022-01-04 21:37:50+00:00,1085.0,Tuesday
16,,https://www.nytimes.com/2022/01/04/opinion/marjorie-taylor-greene-twitter.html,New York Times,OpEd,Op-Ed,Alex Jones deserved it. Donald Trump really deserved it. And now Marjorie Taylor Greene? She double deserves it.,2022-01-04 21:43:30+00:00,1434.0,Tuesday
17,"To Save America, Don’t Dismantle the Police or the Constitution",https://www.nytimes.com/2022/01/04/opinion/trump-jan-6-democracy.html,New York Times,OpEd,Op-Ed,"On Christmas morning, I woke up early and flipped on CNN, where I found the newscaster toggling among three news stories — two really depressing ones and an amazingly uplifting one.",2022-01-05 00:00:10+00:00,1370.0,Wednesday
18,,https://www.nytimes.com/2022/01/04/us/politics/trump-gop-jan-6.html,New York Times,Politics,News,Follow our live updates on the Jan. 6 Capitol Attack Anniversary.,2022-01-05 00:10:04+00:00,1463.0,Wednesday
19,Jan. 6 Panel Asks Hannity To Cooperate In Its Inquiry,https://www.nytimes.com/2022/01/04/business/sean-hannity-jan-6-committee.html,New York Times,Business,News,"The House committee investigating the Jan. 6 attack on the Capitol has requested that Sean Hannity, the star Fox News host, respond to questions about his communications with former President Donald J. Trump and his staff in the days surrounding the riot.",2022-01-05 00:20:22+00:00,775.0,Wednesday
20,,https://www.nytimes.com/2022/01/04/us/politics/trump-jan-6-capitol-attack-anniversary.html,New York Times,Politics,News,Donald J. Trump on Tuesday abruptly canceled a news conference that he had scheduled at his Mar-a-Lago resort for Thursday evening on the one-year anniversary of the breaching of the United States Capitol.,2022-01-05 00:56:15+00:00,336.0,Wednesday
21,"A Year Later, Capitol Cases Keep Growing",https://www.nytimes.com/2022/01/05/us/politics/jan-6-capitol-riot-investigation.html,New York Times,Washington,News,Follow our live updates on the Jan. 6 Capitol Attack Anniversary.,2022-01-05 08:00:09+00:00,1922.0,Wednesday
22,,https://www.nytimes.com/2022/01/05/opinion/american-democracy-a-status-check.html,New York Times,OpEd,Op-Ed,"Just how much trouble is American democracy in? When we look to 2024, it’s easy to focus on the doomsday scenario: an election where legitimate results get thrown out. But our democracy has been eroding for years — and we’ve never been an equal democracy for everyone in the first place.",2022-01-05 10:00:06+00:00,288.0,Wednesday
23,An Assault On the Truth,https://www.nytimes.com/2022/01/05/opinion/republicans-trump-lies.html,New York Times,OpEd,Op-Ed,"This article is part of a collection on the events of Jan. 6, one year later. Read more in a note from Times Opinion’s politics editor, Ezekiel Kweku, in our Opinion Today newsletter.",2022-01-05 10:00:14+00:00,1622.0,Wednesday
24,What the World Saw That Day,https://www.nytimes.com/2022/01/05/opinion/jan-6-global-democracy.html,New York Times,OpEd,Op-Ed,"This article is part of a collection on the events of Jan. 6, one year later. Read more in a note from Times Opinion’s politics editor Ezekiel Kweku in our Opinion Today newsletter.",2022-01-05 10:00:20+00:00,1371.0,Wednesday
25,Capitol Police Chief Commits to Security Upgrades,https://www.nytimes.com/2022/01/05/us/politics/capitol-police-january-6.html,New York Times,Washington,News,"WASHINGTON — With officers still reeling from the mob violence that overran Congress a year ago, the chief of the U.S. Capitol Police told lawmakers on Wednesday that his department was taking steps to address deficiencies laid bare by the attack and would implement more than 100 recommendations for improvement.",2022-01-05 10:00:22+00:00,1291.0,Wednesday
26,A Year After Jan. 6: The Threat Lingers,https://www.nytimes.com/2022/01/05/opinion/letters/jan-6-capitol-hill-riot.html,New York Times,Letters,Letter,To the Editor:,2022-01-05 14:31:33+00:00,885.0,Wednesday
27,They Voted to Impeach. It’s Still Costing Them.,https://www.nytimes.com/2022/01/05/us/politics/republican-impeachment-votes-trump-jan-6.html,New York Times,Washington,News,"WASHINGTON — The 10 House Republicans who voted to impeach Donald J. Trump did so with the same conviction — that a president of their party deserved to be charged with inciting insurrection on Jan. 6, 2021 — and the same hope — that his role in doing so would finally persuade the G.O.P. to repudiate him.",2022-01-05 16:48:44+00:00,1840.0,Wednesday
28,"For Autocrats Across the Globe, History Is for Revising",https://www.nytimes.com/2022/01/05/world/history-revisionism-nationalism.html,New York Times,Foreign,News,"In Russia, an organization dedicated to remembering Soviet-era abuses faces state-ordered liquidation as the Kremlin imposes a sanitized national history in its place.",2022-01-05 18:56:47+00:00,1298.0,Wednesday
29,America’s Democracy Is in Danger,https://www.nytimes.com/2022/01/05/opinion/jan-6-jimmy-carter.html,New York Times,OpEd,Op-Ed,"This article is part of a collection on the events of Jan. 6, one year later. Read more in a note from Times Opinion’s politics editor Ezekiel Kweku in our Opinion Today newsletter.",2022-01-05 20:10:21+00:00,955.0,Wednesday
30,Jan. 6 Celebration Efforts Get Little Response Online,https://www.nytimes.com/2022/01/05/technology/jan-6-anniversary-social-media.html,New York Times,Business,News,Follow our live updates on the Jan. 6 Capitol Attack Anniversary.,2022-01-05 22:43:22+00:00,1065.0,Wednesday
31,"Year After Riot, G.O.P. Is Trump’s to Command",https://www.nytimes.com/2022/01/05/us/politics/trump-gop-jan-6.html,New York Times,Politics,News,"​​One year ago, on the very same day when fevered supporters of Donald J. Trump breached the United States Capitol in a violent riot that defiled a symbol of American democracy, the leadership of the Republican National Committee happened to gather, almost 700 miles away at a Ritz-Carlton on Amelia Island, Fla.",2022-01-05 22:47:56+00:00,1743.0,Wednesday
32,Lingering Resentments Amplify Struggle to Comprehend a Chaotic Day,https://www.nytimes.com/2022/01/05/us/politics/jan-6-attack-capitol-lawmakers.html,New York Times,Washington,News,"WASHINGTON — Metal detectors screen lawmakers for weapons at the doors of the House chamber. Staff members are frightened to come to work. Anxious police officers worry about a future attack, even as they relive the one that took place. The citadel of democracy is almost inaccessible to the public it is supposed to welcome and serve.",2022-01-05 23:55:41+00:00,1343.0,Wednesday
33,,https://www.nytimes.com/2022/01/05/us/politics/americans-political-violence-capitol-riot.html,New York Times,Politics,News,Follow our live updates on the Jan. 6 Capitol Attack Anniversary.,2022-01-06 00:00:04+00:00,1549.0,Thursday
34,,https://www.nytimes.com/2022/01/06/arts/television/stephen-colbert-trump-jan-6.html,New York Times,Culture,News,"Welcome to the Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. Here are the 50 best movies on Netflix right now.",2022-01-06 06:56:03+00:00,822.0,Thursday
35,"Shock, Outrage, and a Deeper Political Divide",https://www.nytimes.com/2022/01/06/us/politics/jan-6-capitol-riot-aftermath.html,New York Times,Washington,News Analysis,"WASHINGTON — For a day or two or maybe a week after the can-you-believe-this-is-happening-in-America events of a year ago, there were those who thought that the shock to the system might upend politics in a profound way.",2022-01-06 08:00:15+00:00,1976.0,Thursday
36,,https://www.nytimes.com/2022/01/06/opinion/sway-kara-swisher-george-farmer.html,New York Times,OpEd,Op-Ed,"After an angry mob attacked the Capitol last year and users on the right-leaning social network Parler organized, shared footage and called to “burn D.C. to the ground,” Kara Swisher grilled the platform’s co-founder and C.E.O., John Matze. The interview was cited in Apple’s decision to take Parler off its App store and Amazon’s decision to suspend web hosting service for Parler. Google also booted the platform off its Play Store. Parler effectively went offline because of these three moves, and Matze lost his job.",2022-01-06 10:00:07+00:00,377.0,Thursday
37,Trumpism Wasn’t Radical Enough,https://www.nytimes.com/2022/01/06/opinion/jan-6-trump-us.html,New York Times,OpEd,Op-Ed,"This article is part of a collection on the events of Jan. 6, one year later. Read more in a note from Times Opinion’s politics editor Ezekiel Kweku in our Opinion Today newsletter.",2022-01-06 10:00:10+00:00,1224.0,Thursday
38,,https://www.nytimes.com/2022/01/06/opinion/jan-6-christian-nationalism.html,New York Times,OpEd,Op-Ed,"This article is part of a collection on the events of Jan. 6, one year later. Read more in a note from Times Opinion’s politics editor Ezekiel Kweku in our Opinion Today newsletter.",2022-01-06 10:04:21+00:00,1836.0,Thursday
