title,date,index,neg_s,neu_s,pos_s,compound_s,pos,neg,neu,compound
Israel announces new settlement homes in the West Bank | Fox News,2021-01-11 08:31:00,0.0,0.0525706441043631,0.1853921115398407,0.07782671340790234,0.035131351268805025,0,0,0,0
Israeli PM Netanyahu pleads not guilty to corruption charges as trial ...,2021-02-08 09:39:00,1.0,0.46315678931703724,0.1415371766348404,0.09900973455687226,-0.014614270612404865,0,0,0,0
"Biden, Israeli PM Netanyahu have 'warm and friendly' talk | Fox News",2021-02-17 16:27:00,2.0,0.015158340334892273,0.76301376024882,0.22182791928450266,0.288900329007638,0,0,0,0
Psaki says Biden will speak with Netanyahu 'soon' after 3 weeks ...,2021-02-16 14:08:00,3.0,0.2018359811604023,0.4496760368347168,0.10848798742517829,0.014074930879314971,0,0,0,0
Israel's Netanyahu blames Iran for cargo ship attack | Fox News,2021-03-01 11:42:00,4.0,0.06603916268795729,0.19991377962287515,0.015297061778255738,-0.02105600115666154,0,0,0,0
Israel's Netanyahu sends condolences to Rush Limbaugh's family ...,2021-02-18 13:19:00,5.0,0.002432416060141155,0.057918740170342584,0.01107741573027202,0.01384250471178786,0,0,0,0
White House declines to say whether Israel is an 'important' ally ...,2021-02-12 21:33:00,6.0,0.02572347264846458,0.33488595135071697,0.05115527306299876,0.03634089899118573,0,0,0,0
Israel's New Hope party to review ties with Lincoln Project | Fox News,2021-02-16 10:12:00,7.0,0.3690942774216334,0.2729656527129312,0.024606735445559025,-0.15408151960401442,0,0,0,0
Netanyahu slams 'outrageous' anti-Semitic joke by 'SNL' star ...,2021-03-04 10:24:00,8.0,0.05614057028045257,0.24385726431177723,0.0888910574786779,0.057600691494074555,0,0,0,0
Kamala Harris speaks with Netanyahu in latest talk with a major ...,2021-03-04 19:27:00,9.0,0.07754320314981872,0.3490154676967197,0.12899688921040958,0.0601269250251807,0,0,0,0
Israel voting in elections as Netanyahu's fate is in the air | Fox News,2021-03-23 14:05:00,10.0,0.21345905647291963,0.17071920931981555,0.09858035478050467,-0.008256520093439686,0,0,0,0
