title,date,index,neg_s,neu_s,pos_s,compound_s,neg,neu,pos,compound
"About 160,000 people protest against Netanyahu's judicial overhaul in Tel Aviv",2023-02-26,0.0,0.019909090909090908,0.15054545454545457,0.011363636363636364,-0.02520454545454546,0.055,0.902,0.043,-0.8462
11 Palestinians killed during Israeli raid targeting militants in West Bank,2023-02-22,1.0,0.0,0.031745762711864405,0.002152542372881356,0.009191525423728813,0.152,0.818,0.031,-0.9995
Your flight from Israel might be about to get quicker. Here's why,2023-02-23,2.0,0.003382352941176471,0.0751470588235294,0.009705882352941177,0.017708823529411766,0.032,0.908,0.061,0.972
Israel launches airstrikes on Gaza after rocket attacks as violence escalates,2023-02-23,3.0,0.016560000000000002,0.18208000000000002,0.041319999999999996,0.059916,0.126,0.808,0.066,-0.9937
Opinion: Netanyahu's 'reforms' are threatening the very foundations of Israel's democracy,2023-02-21,4.0,0.020886363636363637,0.18793181818181817,0.018454545454545456,-0.007840909090909091,0.122,0.761,0.117,-0.4396
Space pods and flying dragons: How Saudi Arabia wants to transform its capital,2023-02-20,5.0,0.003126760563380282,0.01095774647887324,0.0,-0.012364788732394367,0.117,0.824,0.059,-0.9991
Protests across Israel as Netanyahu's government introduces bill to weaken courts,2023-02-20,6.0,0.009038461538461539,0.2538461538461539,0.006346153846153845,0.00035384615384615543,0.054,0.846,0.101,0.9792
Thousands protest Netanyahu's plan to weaken Israel's judiciary as president warns of 'social collapse',2023-02-13,7.0,0.020060606060606057,0.1567878787878788,0.005,-0.046233333333333335,0.065,0.873,0.062,-0.5159
Second child dies in car ramming attack in Jerusalem,2023-02-10,8.0,0.0,0.038461538461538464,0.0,0.0,0.121,0.843,0.036,-0.9914
Opinion: Mitt Romney's moments of truth,2023-02-12,9.0,0.0,0.013784615384615385,0.0015999999999999999,0.0067953846153846155,0.083,0.813,0.104,0.9903
Opinion: Why Netanyahu is suddenly a lot less friendly with Putin,2023-02-07,10.0,0.024681818181818183,0.40093181818181817,0.05168181818181817,0.0496840909090909,0.091,0.782,0.126,0.9717
Powerful quake kills thousands in Turkey and Syria,2023-02-06,11.0,0.003157178217821782,0.035804455445544545,0.0031175742574257427,-0.0007455445544554445,0.129,0.787,0.084,-1.0
"5 things to know for February 2: Ice storm, Debt limit, Middle East, Abortion, Crypto",2023-02-02,12.0,0.00146,0.02952,0.00902,0.028064,0.109,0.793,0.098,-0.9638
Israel targets Gaza with airstrikes after intercepting rocket attack,2023-02-02,13.0,0.011666666666666665,0.05213333333333334,0.0028666666666666662,-0.03996,0.128,0.812,0.06,-0.985
"February 1, 2023 Russia-Ukraine news",2023-01-31,14.0,0.005826498422712934,0.11896214511041012,0.010854889589905362,0.013873817034700317,0.112,0.807,0.081,-0.9999
"Opinion: Netanyahu wants peace, but offers few solutions",2023-02-01,15.0,0.021027027027027023,0.36670270270270267,0.04475675675675676,0.09452162162162162,0.078,0.774,0.149,0.9981
Netanyahu outlines vision for two-state solution -- without Palestinian sovereignty,2023-02-01,16.0,0.028136363636363633,0.256,0.03403030303030303,0.017483333333333337,0.104,0.791,0.105,-0.9591
"'It's all empty promises': Palestinians feel betrayed by US, warn there's only so much they can bear",2023-02-01,17.0,0.002953125,0.0515,0.0080625,0.0231171875,0.128,0.746,0.126,-0.972
Exclusive: Netanyahu says don't get 'hung up' on peace with Palestinians first,2023-01-31,18.0,0.051272727272727275,0.5578409090909091,0.05,0.021372727272727283,0.114,0.797,0.09,-0.9903
"Blinken visit reaches new urgency as Israeli, Palestinian tensions boil",2023-01-30,19.0,0.01563235294117647,0.06770588235294117,0.0049264705882352934,-0.03259264705882353,0.152,0.752,0.096,-0.9992
Antony Blinken Fast Facts,2021-02-25,20.0,0.0,0.034482758620689655,0.0,0.0,0.032,0.885,0.082,0.9747
"Settlements to be 'strengthened' in wake of Jerusalem attacks, Israeli PM says",2023-01-29,21.0,0.032105263157894734,0.11036842105263157,0.01542105263157895,-0.08662631578947369,0.192,0.765,0.043,-0.998
"Two wounded in shooting in Jerusalem, police say, after synagogue attack leaves seven dead",2023-01-28,22.0,0.006493150684931507,0.03460273972602739,0.0,-0.010178082191780822,0.228,0.702,0.07,-0.9998
"At least seven dead in Jerusalem synagogue attack, Israeli police say",2023-01-27,23.0,0.005,0.06476744186046512,0.0,-0.01727906976744186,0.208,0.751,0.041,-0.9995
Blinken to visit Israel and West Bank with tensions high after outbreak of violence,2023-01-27,24.0,0.030233333333333334,0.19326666666666667,0.0099,-0.07665333333333332,0.113,0.809,0.078,-0.9932
"As Israel bans Palestinian flags, one artist protests with his brush",2023-01-25,25.0,0.006707865168539325,0.07942696629213483,0.0037415730337078653,-0.017051685393258426,0.105,0.815,0.08,-0.9965
Iran's regime is trying to execute its way out of trouble,2023-01-23,26.0,0.0,0.03519736842105263,0.0042763157894736845,0.0168,0.19,0.754,0.056,-0.9998
US and Israel launch largest military exercise ever despite concerns over Netanyahu's government,2023-01-23,27.0,0.007615384615384615,0.1537948717948718,0.018076923076923077,0.03562820512820513,0.073,0.846,0.081,0.4835
Netanyahu dismisses key ally Aryeh Deri after High Court order,2023-01-22,28.0,0.024095238095238097,0.3260476190476191,0.03080952380952381,0.0681047619047619,0.111,0.797,0.092,-0.8074
Israel's democracy on the brink amid supreme court showdown with Netanyahu,2023-01-20,29.0,0.026114754098360657,0.2712131147540984,0.03055737704918033,-0.0004065573770491804,0.083,0.8,0.117,0.9952
"Jacinda Ardern, like George Washington, knew when to quit",2023-01-20,30.0,0.004369565217391304,0.017369565217391306,0.0,-0.016919565217391304,0.128,0.77,0.102,-0.9889
"Key Netanyahu ally cannot serve as cabinet minister, Israel's top court rules, sparking potential political crisis",2023-01-18,31.0,0.08111764705882353,0.6949117647058823,0.04752941176470588,-0.09034999999999999,0.115,0.796,0.088,-0.9823
US has moved munitions stored in Israel for use by Ukraine,2023-01-18,32.0,0.010466666666666668,0.0562,0.0,-0.03996,0.062,0.86,0.078,0.4939
A major oil exporter is hosting a UN climate summit. Opinions are divided,2023-01-16,33.0,0.004016666666666667,0.04291666666666667,0.0030666666666666668,-0.013991666666666668,0.064,0.838,0.098,0.9879
"More than 80,000 people turn out for Tel Aviv protest against Netanyahu government",2023-01-14,34.0,0.034833333333333334,0.447,0.018166666666666668,-0.055233333333333336,0.087,0.824,0.089,0.34
Opinion: Don't expect Biden to confront Netanyahu anytime soon,2023-01-04,35.0,0.023901408450704226,0.2833521126760564,0.030760563380281686,0.017098591549295772,0.098,0.786,0.116,0.9837
Israel's rightward shift leaves its new Arab allies in an awkward spot,2023-01-04,36.0,0.005563380281690141,0.22036619718309863,0.013507042253521126,0.029164788732394364,0.075,0.827,0.098,0.9902
Israel's far-right Ben Gvir visits flashpoint Jerusalem holy site as Palestinians slam 'provocation',2023-01-03,37.0,0.011022727272727273,0.12011363636363637,0.005227272727272727,-0.025686363636363632,0.102,0.819,0.079,-0.9893
Four things to watch out for in the Middle East in 2023,2023-01-02,38.0,0.009076923076923078,0.18495384615384616,0.021353846153846154,0.037758461538461525,0.106,0.804,0.09,-0.9881
Benjamin Netanyahu sworn in as leader of Israel's likely most right-wing government ever,2022-12-29,39.0,0.014818181818181819,0.45275757575757575,0.04757575757575757,0.08308787878787881,0.049,0.833,0.118,0.9956
Jordan king warns of 'red lines' in Jerusalem as Netanyahu returns to office,2022-12-28,40.0,0.008905660377358491,0.29326415094339625,0.01858490566037736,0.027033962264150946,0.071,0.834,0.095,0.9795
"December 22, 2022 Russia-Ukraine news",2022-12-21,41.0,0.03054347826086955,0.336332298136646,0.03995341614906831,0.028883540372670807,0.085,0.804,0.111,0.9997
Netanyahu informs Israeli president he has formed government,2022-12-21,42.0,0.005461538461538461,0.3373846153846154,0.041692307692307695,0.10498461538461538,0.011,0.871,0.117,0.987
"Opinion: What 2022's elections taught me about humanity, politics and 'magic sauce'",2022-12-20,43.0,0.0,0.049979166666666665,0.012520833333333333,0.03215416666666667,0.057,0.844,0.098,0.994
Will Erdogan finally deliver on his vow to invade northern Syria?,2022-11-25,44.0,0.013684931506849315,0.12910958904109593,0.007876712328767122,-0.02987808219178082,0.089,0.82,0.091,-0.7698
Israeli President invites Netanyahu to form government,2022-11-13,45.0,0.02848,0.60688,0.08464,0.196556,0.054,0.812,0.134,0.9902
"Netanyahu to be invited to form government, paving way for return of Israel's longest-serving leader",2022-11-11,46.0,0.031608695652173904,0.5179782608695652,0.05908695652173913,0.0734304347826087,0.054,0.844,0.102,0.988
Gulf Arab states can't give up oil. But they can slash their emissions,2022-11-11,47.0,0.012688524590163935,0.0801311475409836,0.0055409836065573774,-0.026293442622950816,0.086,0.803,0.111,0.9911
Opinion: What Europe makes of America's election result,2022-11-09,48.0,0.0,0.02322857142857143,0.005342857142857143,0.01853142857142857,0.05,0.862,0.088,0.9835
How a rule change helped Netanyahu win Israel's elections,2022-11-07,49.0,0.006737704918032787,0.14763934426229508,0.0259344262295082,0.06897868852459016,0.117,0.768,0.115,-0.834
Opinion: What a Netanyahu comeback means for Israel -- and the world,2022-11-03,50.0,0.03256363636363636,0.5335272727272727,0.07023636363636364,0.12164,0.072,0.792,0.136,0.9986
Israel Prime Minister Yair Lapid congratulates Benjamin Netanyahu on election victory,2022-11-03,51.0,0.03184615384615385,0.6748461538461539,0.06253846153846153,0.0847230769230769,0.059,0.873,0.068,0.0581
A far-right surge is set to put Netanyahu back in power. Who are his extremist allies?,2022-11-02,52.0,0.0063720930232558145,0.295046511627907,0.02416279069767442,0.05546976744186046,0.087,0.807,0.106,0.9284
Netanyahu is back. Here's what that means for Israel,2022-11-02,53.0,0.0061911764705882355,0.28679411764705887,0.030500000000000003,0.10008088235294119,0.117,0.788,0.095,-0.9964
