title,date,index,neg_s,neu_s,pos_s,compound_s,neg,neu,pos,compound
Opinion: Why Netanyahu is suddenly a lot less friendly with Putin,2023-02-07T15:24:25Z,0.0,0.00831578947368421,0.22678947368421054,0.028026315789473684,0.08624473684210526,0.087,0.786,0.127,0.9888
China wants to dominate the 'near space' battlefield. Balloons are a key asset,2023-02-09T09:02:23Z,1.0,0.0,0.0,0.0,0.0,0.051,0.889,0.06,0.8798
Israel targets Gaza with airstrikes after intercepting rocket attack,2023-02-02T06:44:02Z,2.0,0.021875,0.09775,0.005375,-0.074925,0.128,0.813,0.06,-0.985
"Israel and Sudan finalize text of peace agreement, says Israeli FM",2023-02-02T21:14:58Z,3.0,0.0,0.0975,0.0275,0.119225,0.011,0.812,0.177,0.9966
Two dead including child as car rams people at Jerusalem bus stop,2023-02-10T13:23:35Z,4.0,0.0,0.0625,0.0,0.0,0.115,0.849,0.036,-0.9903
Nigeria gets Africa's first entry at Prince Harry's Invictus Games for wounded veterans,2023-02-09T12:17:57Z,5.0,0.0,0.0,0.0,0.0,0.053,0.875,0.071,0.7656
Netanyahu outlines vision for two-state solution -- without Palestinian sovereignty,2023-02-01T15:26:26Z,6.0,0.021776119402985076,0.13549253731343286,0.021835820895522388,-0.011425373134328357,0.105,0.793,0.102,-0.9785
Map: Aftershocks felt across the region after major earthquake hits Turkey,2023-02-06T15:49:15Z,7.0,0.0,0.0,0.0,0.0,0.083,0.877,0.04,-0.9114
US turns up the heat on Middle East allies in bid to stop Russia's war machine,2023-02-03T13:34:29Z,8.0,0.0,0.0,0.0,0.0,0.085,0.8,0.115,0.9967
"Israeli forces raid Jenin, killing 14-year-old boy, Palestinian officials say",2023-02-12T17:22:02Z,9.0,0.0,0.0,0.0,0.0,0.168,0.791,0.041,-0.9925
"'It's all empty promises': Palestinians feel betrayed by US, warn there's only so much they can bear",2023-02-01T14:50:50Z,10.0,0.006423728813559322,0.053372881355932204,0.008016949152542373,0.008147457627118642,0.129,0.744,0.128,-0.9693
"Traumatized and afraid, Jenin residents are still reeling from Israeli raid",2023-02-04T05:57:39Z,11.0,0.0,0.0,0.0,0.0,0.136,0.825,0.039,-0.9993
"Opinion: Netanyahu wants peace, but offers few solutions",2023-02-01T19:53:27Z,12.0,0.008472222222222221,0.24602777777777776,0.02327777777777778,0.06606944444444444,0.101,0.784,0.116,0.9349
House to vote on resolution to remove Ilhan Omar from Foreign Affairs Committee,2023-02-02T11:00:33Z,13.0,0.0,0.0,0.0,0.0,0.069,0.879,0.052,-0.9714
Hackers interrupt Iran president's TV speech on anniversary of revolution,2023-02-12T05:49:53Z,14.0,0.0,0.0,0.0,0.0,0.189,0.737,0.074,-0.9984
"Palestinian man, 27, shot and killed by Israeli settler in the West Bank, Palestinian officials say",2023-02-12T14:31:02Z,15.0,0.0,0.0,0.0,0.0,0.162,0.838,0.0,-0.9894
Drug-free relief from chronic constipation may came from a new vibrating pill,2023-02-08T11:32:01Z,16.0,0.0,0.0,0.0,0.0,0.049,0.842,0.109,0.9977
"5 things to know for February 2: Ice storm, Debt limit, Middle East, Abortion, Crypto",2023-02-02T11:44:30Z,17.0,0.001822222222222222,0.054599999999999996,0.010244444444444443,0.046311111111111115,0.103,0.803,0.094,-0.9393
Explainer: The earthquake in Turkey is one of the deadliest this century. Here's why,2023-02-07T17:45:00Z,18.0,0.0,0.0,0.0,0.0,0.189,0.756,0.056,-1.0
"As aid is rushed into Turkey, Syria could be left behind",2023-02-08T14:47:39Z,19.0,0.0,0.0,0.0,0.0,0.163,0.77,0.067,-0.9999
"Most young people aren't getting latest Covid-19 booster, but they're not filling hospital beds at three large health care systems",2023-02-10T17:59:30Z,20.0,0.0,0.0,0.0,0.0,0.07,0.821,0.108,0.9985
Opinion: Mike Pompeo takes a blowtorch to 'the establishment',2023-02-01T18:15:04Z,21.0,0.0,0.0,0.0,0.0,0.076,0.82,0.104,0.9955
"5 things to know for Feb. 3: Arctic blast, Spy balloon, Ukraine, Tobacco, Eye drops",2023-02-03T11:27:27Z,22.0,0.0,0.0,0.0,0.0,0.052,0.898,0.05,0.8208
Opinion: Americans deserve more than a Biden-Trump rematch,2023-02-09T16:48:17Z,23.0,0.0,0.0,0.0,0.0,0.077,0.748,0.175,0.9989
"Fluid telescope, a moon plane and self-growing Mars bricks: Sci-fi concepts that could change how we explore space",2023-02-04T14:26:35Z,24.0,0.0,0.0,0.0,0.0,0.02,0.908,0.071,0.9979
Suspect in New Year's Eve machete attack in New York pleads not guilty,2023-02-08T21:10:50Z,25.0,0.0,0.0,0.0,0.0,0.149,0.815,0.037,-0.9915
