title,date,index,neg_s,neu_s,pos_s,compound_s,neg,neu,pos,compound
"About 160,000 people protest against Netanyahu's judicial overhaul in Tel Aviv",2023-02-26,0.0,0.01972727272727273,0.15081818181818185,0.011272727272727273,-0.02520454545454546,0.055,0.902,0.043,-0.8462
11 Palestinians killed during Israeli raid targeting militants in West Bank,2023-02-22,1.0,0.0,0.031745762711864405,0.002152542372881356,0.009191525423728813,0.152,0.818,0.031,-0.9995
Your flight from Israel might be about to get quicker. Here's why,2023-02-23,2.0,0.0,0.023411764705882354,0.005999999999999999,0.018379411764705884,0.031,0.908,0.061,0.972
Israel launches airstrikes on Gaza after rocket attacks as violence escalates,2023-02-23,3.0,0.016200000000000003,0.13455999999999999,0.00924,-0.010524,0.124,0.811,0.065,-0.9937
Opinion: Netanyahu's 'reforms' are threatening the very foundations of Israel's democracy,2023-02-21,4.0,0.017681818181818184,0.10618181818181817,0.012477272727272726,-0.004847727272727273,0.123,0.763,0.114,-0.7843
Space pods and flying dragons: How Saudi Arabia wants to transform its capital,2023-02-20,5.0,0.0033098591549295775,0.010774647887323944,0.0,-0.012816901408450704,0.118,0.823,0.059,-0.9991
Protests across Israel as Netanyahu's government introduces bill to weaken courts,2023-02-20,6.0,0.008538461538461538,0.18046153846153848,0.0033076923076923075,-0.012723076923076922,0.053,0.848,0.099,0.9792
Thousands protest Netanyahu's plan to weaken Israel's judiciary as president warns of 'social collapse',2023-02-13,7.0,0.013272727272727275,0.13175757575757574,0.006454545454545454,-0.024590909090909087,0.065,0.871,0.064,-0.3575
Second child dies in car ramming attack in Jerusalem,2023-02-10,8.0,0.0,0.038461538461538464,0.0,0.0,0.121,0.843,0.036,-0.9914
Opinion: Mitt Romney's moments of truth,2023-02-12,9.0,0.0,0.013784615384615385,0.0015999999999999999,0.0067953846153846155,0.083,0.813,0.104,0.9903
Opinion: Why Netanyahu is suddenly a lot less friendly with Putin,2023-02-07,10.0,0.0,0.14083720930232557,0.021953488372093023,0.06524186046511628,0.089,0.782,0.129,0.983
Powerful quake kills thousands in Turkey and Syria,2023-02-06,11.0,0.0004573547589616811,0.0031841779975278124,6.674907292954265e-05,-0.0021223733003708284,0.129,0.787,0.084,-1.0
"5 things to know for February 2: Ice storm, Debt limit, Middle East, Abortion, Crypto",2023-02-02,12.0,0.00132,0.03016,0.00854,0.028064,0.109,0.794,0.097,-0.9638
Israel targets Gaza with airstrikes after intercepting rocket attack,2023-02-02,13.0,0.011666666666666665,0.05213333333333334,0.0028666666666666662,-0.03996,0.128,0.812,0.06,-0.985
