title,date,index,neg_s,neu_s,pos_s,compound_s,neg,neu,pos,compound
Israel announces new settlement homes in the West Bank | Fox News,2021-01-11 08:31:00,0.0,0.03242105263157895,0.2601578947368421,0.023263157894736847,0.03199473684210526,0.057,0.847,0.097,0.9591
Israeli PM Netanyahu pleads not guilty to corruption charges as trial ...,2021-02-08 09:39:00,1.0,0.09040740740740744,0.5682222222222222,0.04511111111111111,-0.10781851851851851,0.147,0.772,0.081,-0.9959
"Biden, Israeli PM Netanyahu have 'warm and friendly' talk | Fox News",2021-02-17 16:27:00,2.0,0.013333333333333334,0.7749999999999999,0.21166666666666667,0.8616,0.027,0.808,0.165,0.9821
Psaki says Biden will speak with Netanyahu 'soon' after 3 weeks ...,2021-02-16 14:08:00,3.0,0.023639999999999998,0.6942,0.04220000000000001,0.099452,0.044,0.891,0.065,0.9262
Israel's Netanyahu blames Iran for cargo ship attack | Fox News,2021-03-01 11:42:00,4.0,0.03471875000000001,0.22653125000000002,0.02003125,-0.047328125,0.147,0.792,0.061,-0.9979
Israel's Netanyahu sends condolences to Rush Limbaugh's family ...,2021-02-18 13:19:00,5.0,0.005571428571428572,0.061785714285714284,0.004071428571428571,-0.034050000000000004,0.032,0.82,0.148,0.9966
White House declines to say whether Israel is an 'important' ally ...,2021-02-12 21:33:00,6.0,0.003882352941176471,0.3825882352941177,0.025352941176470592,0.12425882352941177,0.009,0.913,0.078,0.9884
Israel's New Hope party to review ties with Lincoln Project | Fox News,2021-02-16 10:12:00,7.0,0.03933333333333334,0.6058333333333333,0.021666666666666667,-0.16576666666666667,0.059,0.9,0.041,-0.6908
Netanyahu slams 'outrageous' anti-Semitic joke by 'SNL' star ...,2021-03-04 10:24:00,8.0,0.0036944444444444446,0.34402777777777777,0.04116666666666666,0.11908333333333333,0.032,0.906,0.062,0.9463
Kamala Harris speaks with Netanyahu in latest talk with a major ...,2021-03-04 19:27:00,9.0,0.020444444444444446,0.4668888888888889,0.06822222222222223,0.24303333333333332,0.041,0.804,0.154,0.9897
Israel voting in elections as Netanyahu's fate is in the air | Fox News,2021-03-23 14:05:00,10.0,0.021017241379310346,0.4149827586206897,0.046793103448275856,0.04514827586206896,0.082,0.795,0.123,0.9943
Israeli president picks Netanyahu to try and form government | Fox ...,2021-04-06 08:56:00,11.0,0.0556,0.60595,0.08845,0.11767999999999998,0.094,0.764,0.142,0.9859
Netanyahu brushes off Biden call for 'significant de-escalation' in ...,2021-05-19 12:19:00,12.0,0.02372413793103448,0.09731034482758619,0.016896551724137933,0.001982758620689655,0.133,0.744,0.123,-0.9836
"Netanyahu says Israel wants to 'degrade' Hamas' will, warns ...",2021-05-16 12:59:00,13.0,0.0741764705882353,0.5959999999999999,0.03570588235294118,-0.17124117647058826,0.16,0.778,0.062,-0.9951
"Biden calls Netanyahu, says Israel 'has right to defend itself' against ...",2021-05-12 19:35:00,14.0,0.0018181818181818182,0.11057575757575758,0.008818181818181817,0.02374848484848485,0.12,0.745,0.135,0.74
"Netanyahu, in front of Blinken, says US should stay away from Iran ...",2021-05-25 09:11:00,15.0,0.04359259259259259,0.39388888888888896,0.044,-0.014233333333333336,0.092,0.829,0.079,-0.9666
Israel Prime Minister Netanyahu fires back at coalition effort to oust ...,2021-05-30 14:59:00,16.0,0.044,0.451,0.05045454545454546,-0.03792727272727274,0.086,0.788,0.126,0.9315
Netanyahu calls state of emergency after violent clashes in Lod | Fox ...,2021-05-11 21:03:00,17.0,0.011076923076923076,0.06453846153846153,0.0013076923076923079,-0.07263076923076923,0.139,0.854,0.007,-0.9918
Netanyahu adviser Mark Regev says Hamas should 'think twice ...,2021-05-23 09:18:00,18.0,0.03825,0.2730999999999999,0.038675,-0.009775,0.111,0.804,0.086,-0.9693
Israeli airstrike kills top Hamas commander as Netanyahu vows 'iron ...,2021-05-12 12:19:00,19.0,0.01681818181818182,0.07027272727272726,0.0038181818181818182,-0.037377272727272724,0.172,0.774,0.054,-0.9973
"LIVE UPDATES: Israeli strike takes out top Hamas terrorist, Biden ...",2021-05-12 21:06:00,20.0,0.031,0.20825,0.01075,-0.244825,0.116,0.844,0.04,-0.9793
Michael Goodwin: Israel vs. Hamas – Biden should let Netanyahu ...,2021-05-17 08:00:00,21.0,0.005092592592592593,0.013425925925925926,0.0,-0.012792592592592592,0.166,0.759,0.075,-0.9992
"Israel, Netanyahu continue to defy Biden with airstrikes amid more ...",2021-05-20 08:43:00,22.0,0.019666666666666666,0.2364166666666667,0.021694444444444443,0.03948888888888889,0.152,0.745,0.103,-0.9959
