title,date,pos,neg,neu,index
"About 160,000 people protest against Netanyahu's judicial overhaul in Tel Aviv",2023-02-26,0,1,0,0.0
11 Palestinians killed during Israeli raid targeting militants in West Bank,2023-02-22,0,0,1,1.0
Your flight from Israel might be about to get quicker. Here's why,2023-02-23,0,0,1,2.0
Israel launches airstrikes on Gaza after rocket attacks as violence escalates,2023-02-23,0,0,1,3.0
Opinion: Netanyahu's 'reforms' are threatening the very foundations of Israel's democracy,2023-02-21,0,0,1,4.0
Space pods and flying dragons: How Saudi Arabia wants to transform its capital,2023-02-20,0,0,1,5.0
Protests across Israel as Netanyahu's government introduces bill to weaken courts,2023-02-20,0,0,1,6.0
Thousands protest Netanyahu's plan to weaken Israel's judiciary as president warns of 'social collapse',2023-02-13,0,0,1,7.0
Second child dies in car ramming attack in Jerusalem,2023-02-10,0,0,1,8.0
Opinion: Mitt Romney's moments of truth,2023-02-12,0,1,0,9.0
Opinion: Why Netanyahu is suddenly a lot less friendly with Putin,2023-02-07,0,0,1,10.0
Powerful quake kills thousands in Turkey and Syria,2023-02-06,0,0,1,11.0
"5 things to know for February 2: Ice storm, Debt limit, Middle East, Abortion, Crypto",2023-02-02,0,0,1,12.0
Israel targets Gaza with airstrikes after intercepting rocket attack,2023-02-02,0,1,0,13.0
"February 1, 2023 Russia-Ukraine news",2023-01-31,0,0,1,14.0
"Opinion: Netanyahu wants peace, but offers few solutions",2023-02-01,0,0,1,15.0
Netanyahu outlines vision for two-state solution -- without Palestinian sovereignty,2023-02-01,0,0,1,16.0
"'It's all empty promises': Palestinians feel betrayed by US, warn there's only so much they can bear",2023-02-01,0,0,1,17.0
Exclusive: Netanyahu says don't get 'hung up' on peace with Palestinians first,2023-01-31,0,0,1,18.0
"Blinken visit reaches new urgency as Israeli, Palestinian tensions boil",2023-01-30,0,1,0,19.0
Antony Blinken Fast Facts,2021-02-25,0,0,1,20.0
"Settlements to be 'strengthened' in wake of Jerusalem attacks, Israeli PM says",2023-01-29,0,0,1,21.0
"Two wounded in shooting in Jerusalem, police say, after synagogue attack leaves seven dead",2023-01-28,0,0,1,22.0
"At least seven dead in Jerusalem synagogue attack, Israeli police say",2023-01-27,0,0,1,23.0
Blinken to visit Israel and West Bank with tensions high after outbreak of violence,2023-01-27,0,0,1,24.0
"As Israel bans Palestinian flags, one artist protests with his brush",2023-01-25,0,0,1,25.0
Iran's regime is trying to execute its way out of trouble,2023-01-23,0,0,1,26.0
US and Israel launch largest military exercise ever despite concerns over Netanyahu's government,2023-01-23,0,0,1,27.0
Netanyahu dismisses key ally Aryeh Deri after High Court order,2023-01-22,0,1,0,28.0
Israel's democracy on the brink amid supreme court showdown with Netanyahu,2023-01-20,0,1,0,29.0
"Jacinda Ardern, like George Washington, knew when to quit",2023-01-20,0,1,0,30.0
"Key Netanyahu ally cannot serve as cabinet minister, Israel's top court rules, sparking potential political crisis",2023-01-18,0,1,0,31.0
US has moved munitions stored in Israel for use by Ukraine,2023-01-18,0,0,1,32.0
A major oil exporter is hosting a UN climate summit. Opinions are divided,2023-01-16,0,1,0,33.0
"More than 80,000 people turn out for Tel Aviv protest against Netanyahu government",2023-01-14,0,1,0,34.0
Opinion: Don't expect Biden to confront Netanyahu anytime soon,2023-01-04,0,1,0,35.0
Israel's rightward shift leaves its new Arab allies in an awkward spot,2023-01-04,0,0,1,36.0
Israel's far-right Ben Gvir visits flashpoint Jerusalem holy site as Palestinians slam 'provocation',2023-01-03,0,1,0,37.0
Four things to watch out for in the Middle East in 2023,2023-01-02,0,1,0,38.0
Benjamin Netanyahu sworn in as leader of Israel's likely most right-wing government ever,2022-12-29,0,0,1,39.0
Jordan king warns of 'red lines' in Jerusalem as Netanyahu returns to office,2022-12-28,0,0,1,40.0
"December 22, 2022 Russia-Ukraine news",2022-12-21,0,0,1,41.0
Netanyahu informs Israeli president he has formed government,2022-12-21,0,0,1,42.0
"Opinion: What 2022's elections taught me about humanity, politics and 'magic sauce'",2022-12-20,0,0,1,43.0
Will Erdogan finally deliver on his vow to invade northern Syria?,2022-11-25,0,0,1,44.0
Israeli President invites Netanyahu to form government,2022-11-13,0,0,1,45.0
"Netanyahu to be invited to form government, paving way for return of Israel's longest-serving leader",2022-11-11,0,0,1,46.0
Gulf Arab states can't give up oil. But they can slash their emissions,2022-11-11,0,0,1,47.0
Opinion: What Europe makes of America's election result,2022-11-09,0,0,1,48.0
How a rule change helped Netanyahu win Israel's elections,2022-11-07,0,1,0,49.0
Opinion: What a Netanyahu comeback means for Israel -- and the world,2022-11-03,0,0,1,50.0
Israel Prime Minister Yair Lapid congratulates Benjamin Netanyahu on election victory,2022-11-03,0,1,0,51.0
A far-right surge is set to put Netanyahu back in power. Who are his extremist allies?,2022-11-02,0,0,1,52.0
Netanyahu is back. Here's what that means for Israel,2022-11-02,0,1,0,53.0
"Netanyahu on course to lead Israel's most right-wing government ever, partial Israel results suggest",2022-11-02,0,1,0,54.0
"In Brazil and Israel, leaders show Trump there can be political next acts",2022-11-02,0,1,0,55.0
Netanyahu on brink of comeback as Israeli exit polls point to narrow majority for ex-PM,2022-11-01,0,1,0,56.0
Netanyahu eyes comeback as Israel votes in fifth election in four years,2022-11-01,0,0,1,57.0
Netanyahu eyes extremist political support in comeback attempt,2022-10-28,0,0,1,58.0
Gulf states use new oil riches to gain regional influence,2022-10-31,0,1,0,59.0
Five elections in four years: What's the deal with Israeli politics?,2022-10-30,0,1,0,60.0
The world leaders who refuse to leave the stage,2022-10-27,0,1,0,61.0
5 ways the Israel-Lebanon maritime deal matters,2022-10-12,0,0,1,62.0
Opinion: Jared Kushner settles a few scores,2022-08-29,0,1,0,63.0
Why Hamas stayed out of the latest Gaza conflict,2022-08-08,0,0,1,64.0
Israel's Prime Minister makes rare allusion to country's nuclear weapons arsenal,2022-08-02,0,1,0,65.0
Why Joe Biden's fist bump with MBS was such a disaster,2022-07-17,0,0,1,66.0
Opinion: Biden's risky fist bump with MBS,2022-07-17,0,0,1,67.0
Biden tries to ease worries over US commitment to the Middle East in meetings with key leaders,2022-07-16,0,1,0,68.0
Saudi Arabia opens airspace to Israeli flights,2022-07-15,0,1,0,69.0
A 'Middle East NATO'? Why Iran is closely watching Biden's regional trip,2022-07-15,0,0,1,70.0
"Biden says diplomacy is still the best way to keep Iran from getting a nuclear weapon, despite Israeli skepticism",2022-07-14,0,1,0,71.0
Fist bumps instead of handshakes: Biden looks to 'minimize contact' in Israel and Saudi Arabia,2022-07-13,0,0,1,72.0
What not to expect from Biden's Jerusalem trip,2022-07-11,0,0,1,73.0
