title,date,index,text,num_of_sentences,neu_lbl,pos_lbl,neg_lbl,neg_s,neu_s,pos_s,compound_s,pos,neg,neu,compound,sum_score,rolling_score_sum,rolling_num_sentences,rolling_score_by_senteces
Israel announces new settlement homes in the West Bank | Fox News,2021-01-11 08:31:00,0.0," close video fox news flash top headlines for january 10 fox news flash top headlines are here. check out what's clicking on foxnews.com.israeli prime ministerbenjamin netanyahu announced monday the construction of some 800 housing units in the jewishsettlements in the west bank—justdays before u.s. president-elect joe biden’s inauguration.according to astatement issued by the prime minister's office, among the units approved would be 100 new homes for the tal menashe settlement, where ester horgan, a 53-year-old mother of six, was murdered by a palestinian assailant last month while jogging in a nearby forest.the new plan includes the legalization of an outpost.ex-israeli ambassador danon's big idea: biden should maintain strong stance on iran, partner with alliesisraeli media outlet kann reported that alternate prime minister and defense minister benny gantz has instructed the defense ministry panel to convene next week to green-light construction. israeli prime minister benjamin netanyahu speaks during a briefing on coronavirus development in israel at his office in jerusalem, sunday, sept. 13 2020. (alex kolomiensky/yedioth ahronoth via ap, pool) it was not immediately clear how soon the homes would be built, as such construction usually requires approval from several government bodies and a tendering process.themove has stirred criticism from the opposing parties, such as yair lapid, the leader of centrist yesh atid political party, who called the move ""irresponsible"" and said it would cause an unnecessary conflict with the biden administration.""the biden administration has not yet taken office and the government. a sane government does not start an unnecessary battle with a new american president,"" lapid tweeted.israeli left-wing organization ""peace now"" said netanyahu's announcement signals to the biden administration that ""israel wants a confrontation.""convicted spy who sold us military secrets arrives in israel, granted citizenshipthe trump administration hasbeen openly supportive of netanyahu's policy regarding the west bank's jewish settlements.earlier monday, the u.s. ambassador to israel, david m. friedman, visited the knesset – israel’s legislative branch – at the invitation of the subcommitteefor policy and strategy of the foreign affairs and defense committee. during the closed-door meeting, the ambassador referred to the issue and called it one of his most significant accomplishments.""we succeeded together and making it stronger than ever before, making our nations more secure, more peaceful and more prosperous,"" he said. ""and people, as my friends put down the list of some of the accomplishments, whether it recognized the capital of israel jerusalem, to sovereignty over the golan heights, to the non-illegality, if you will, of communities in yehuda veshomron"". in this nov. 16, 2020 file photo, workers take a break before european union officials visit the construction site for givat hamatos settlement in jerusalem. israel on monday, jan. 12, 2021, advanced plans to build 800 new settler homes in the occupied west bank, a move that could strain ties with the incoming administration of president-elect joe biden. prime minister benjamin netanyahu's office announced the move, saying it would include 100 homes in a settlement where an israeli woman was killed recently in an alleged terror attack. (ap photo/maya alleruzzo, file) as described in the biden-harris website, the biden administration is expected to adopt a no-tolerance approach with israel.""biden opposes any unilateral steps by either side that undermine a two-state solution,"" the website said. ""he opposes annexation and settlement expansion and will continue to oppose both as president.""click here to get the fox news appisrael captured the west bank and east jerusalem in the 1967 war, territories the palestinians want for their future state. nearly 500,000 israelis live in settlements scattered across the west bank. the palestinians view settlements as a violation of international law and an obstacle to peace, a position with wide international support.israel will hold its fourthround of elections intwo years in march, and this decision by netanyahu is expected to strengthen his support from the right wing citizensand the settlers, whichwouldsecure his next term. ",6.0,1.0,0.0,0.0,0.1653446292039007,0.5840184738238653,0.25063690294822055,0.18555288135220216,0,0,0,0,1.113317288113213,,,
Israeli PM Netanyahu pleads not guilty to corruption charges as trial ...,2021-02-08 09:39:00,1.0," close video fox news flash top headlines for february 8 fox news flash top headlines are here. check out what's clicking on foxnews.com.jerusalem – israeli prime minister benjamin netanyahu pleaded not guilty on monday as his trial on corruption charges resumed in a jerusalem courtroom just weeks before national elections in which he hopes to extend his 12-year rule.netanyahu was indicted last year for fraud, breach of trust and accepting bribes in three separate cases. in recent months, israelis have held weekly protests calling on him to resign over the charges and criticizing his government's response to the coronavirus crisis. protesters gathered outside the courthouse could be heard inside the room where the hearing was being held.nikki haley accused biden of 'snubbing' israel, 'cozying up' to iran: 'i really don't understand the logiche stands accused of accepting lavish gifts from wealthy friends andoffering to grant favorsto powerful media moguls in exchange for favorable coverage of him and his family. the latest hearing was postponed last month due to lockdown restrictions on public gatherings.israel’s longest-serving leader is also the first sitting prime minister to go on trial for corruption. israeli law requires cabinet ministers to resign when charged with criminal offenses, but does not specifically address the case of a prime minister under indictment. israeli prime minister benjamin netanyahu stands at a hearing at the district court in jerusalem, monday, feb. 8, 2021. (ap photo/reuven castro, pool) netanyahu has denied any wrongdoing and has dismissed the charges against him as a ""witch-hunt"" orchestrated by biased law enforcement and media. he has refused to step down and has used his office as a bully pulpit against critics and the criminal justice system.at monday's hearing, netanyahu's lawyers submitted a written response pleading not guilty. they then argued against the cases on procedural grounds, saying the attorney general had not properly approved the investigations in writing.after around 20 minutes, netanyahu left the courtroom without explanation and his motorcade departed.the hearing continued in his absence, with his lawyers arguing for more than an hour that constitutional procedures had not been followed. the judges appeared skeptical and repeatedly called on the defense lawyers to wrap it up. the prosecution then rejected those arguments, saying the attorney general had approved the investigations in dozens of meetings.outside the courthouse, around 150 protesters chanted against netanyahu. many carried banners reading ""crime minister."" protesters, including one wearing a mask depicting israeli prime minister benjamin netanyahu, gather outside the district court during a hearing in his corruption trial, in jerusalem, monday, feb. 8, 2021. (ap photo/maya alleruzzo) ""we want a new government, a clean government, no corruption"" said sharon sagy, a protester, ""we don’t want bibi netanyahu, we want him to go, he needs to go,"" she said, using his nickname.at the start of his trial last may, netanyahu was flanked by a cohort of likud party allies as he railed against the media, police, judges and prosecutors. he said the trial aimed to ""depose a strong, right-wing prime minister, and thus remove the nationalist camp from the leadership of the country for many years.""biden administration likely going back to 'good old days' of iran nuclear deal: mcfarlandnetanyahu has served as israel's prime minister since 2009, and in the past two years has managed to hang onto power through three tumultuous, deadlocked elections. his flimsy ruling coalition collapsed in december, and he now faces a major battle for reelection in march 23 parliamentary elections.netanyahuhopes to campaign on having pulled the country out of the pandemicthrough one of the world's most successful vaccination campaigns. he boasts of having personally secured millions of doses from major drug makers, allowing israel to vaccinate more than a third of its population of 9.3 million. he hopes to vaccinate the entire adult population by late march. israeli prime minister benjamin netanyahu looks on prior to a hearing at the district court in jerusalem, monday, feb. 8, 2021. (ap photo/reuven castro, pool) but his government has faced heavy criticism for other aspects of its response to the crisis. the country is only now starting to emerge from its third nationwide lockdown, and the closures have sent unemployment skyrocketing.an emergency government formed last may to combat the coronavirus outbreak has been mired in bickering. the country's leaders have struggled to enact consistent policies and repeatedly accused each other of playing politics with the pandemic. israel has meanwhile reported nearly 700,000 cases since the outbreak began, including 5,121 deaths.click here to get the fox news appone major controversy concerns israel's ultra-orthodox jewish community, many of whom haveopenly flouted restrictions on public gatherings. netanyahu will need the ultra-orthodox parties to form a ruling coalition, and his critics accuse him of turning a blind eye to their violations.polls show netanyahu's likud winning the most seats but struggling to form a 61-seat majority coalition in the knesset, israel's parliament. the margin of victory could be extremely tight,potentially allowing a small, fringe partyto decide who heads the next government. ",12.0,0.0,0.0,1.0,0.6473294100724161,0.23811727832071483,0.11455330479657277,-0.49558192355546926,0,0,0,0,-5.946983082665631,,,
"Biden, Israeli PM Netanyahu have 'warm and friendly' talk | Fox News",2021-02-17 16:27:00,2.0," close video benjamin netanyahu: trump is the 'best friend israel has ever had in white house' president biden spoke with israeli prime minister benjamin netanyahu on wednesday, netanyahu’s office confirmed to fox news.netanyahu’s office characterized the call as ""warm and friendly"" and said that it lasted for roughly an hour. ""the leaders noted their personal relations of years, and said they would act together to continue to strengthen the alliance between israel and the u.s.,"" the statement from netanyahu’s office said.among the topics that were said to be discussed were promoting peace agreements, challenges in the region – including the iranian threat – and the covid-19 crisis.vp kamala harris holds calls with foreign leaders without bidenwhite house press secretary jen psaki sought to reassure reporters this week that israel was an ""ally"" ofthe u.s., after the administration fielded questions as to why biden had not yet spoken with the israeli leader.some wondered whether it was a snub, considering biden had called leaders like canadian prime minister justin trudeau and mexico's president andrés manuel lópez obrador the week he was inaugurated.click here for the fox news appdonald trump fostered an incredibly warm relationship with israel and netanyahu. during an interview with fox news last yearnetanyahu called trump the ""best friend that israel has ever had in the white house."" ",3.0,1.0,0.0,0.0,0.016600668119887512,0.7424827019373575,0.24091660231351852,0.5238614791209523,0,0,0,0,1.5715844373628567,,,
Psaki says Biden will speak with Netanyahu 'soon' after 3 weeks ...,2021-02-16 14:08:00,3.0," close video biden will have call 'soon' with 'important' ally israel: white house white house press secretary jen psaki says president biden's first call to a leader in the middle east region will be to prime minister benjamin netanyahu.white house press secretary jen psaki said that president biden would callprime minister benjamin netanyahu ""soon,"" downplaying concerns that the new administration could be shutting out the israeli leader.""his first call with a leader in the region will be with prime minister netanyahu,"" psaki told reporters tuesday. ""it will be soon. stay tuned. israel is an important ally.""israeli pundits question the message biden is sending in not making contact with netanyahu nearly a month into the administration.the new president has already made a flurry of phone calls to american friends around the world, including leaders in canada, britain, france, japan, mexico, germany, south korea, and even some foes: he spoke with chinese president xi jinping and russia’s vladimir putin. former president trump called netanyahu two days into office.the u.s. is israel’s closest ally, providing about $3.8 billion in annual military aid and shielding it from censure in international forums over its policies toward the palestinians.white house declines to say whether israel is an 'important' allylast week, israel’s former ambassador to the united nations danny danon tweeted a list of 10 countries that he said had gotten a call from biden. ""might it now be time to call the leader of #israel, the closest ally of the #us?"" danon posted. psaki at the time promised the president’s silence was ""not an intentional diss.""""israel is of course an ally,"" psaki says. ""israel is a country where we have an important strategic security relationship and our team is fully engaged.""netanyahu, who faces a tough reelection battle in march, has long touted his close relationship with world leaders.biden ""is making calls to world leaders according to the order he sees fit,"" he said. ""the israel-u.s. alliance is strong and so is our friendship of almost 40 years, though we may not agree on everything,"" netanyahu said, unconcerned. he said that biden had more pressing priorities to contend with, such as fallout for the coronavirus pandemic.former president trump’s israel policy was in lockstep with netanyahu, but the israeli leader could have a frostier relationship with biden. the biden administration plans to leave the u.s. embassy in jerusalem, a controversial priority for the trump administration, but already secretary of state antony blinken suggested the u.s. would not adhere to trump’s recognition of israeli sovereignty over the golan heights, a strategic region captured from syria in 1967.netanyahu pleads not guilty to corruption chargesbiden, a former chairman of the senate foreign relations committee, has known netanyahu for decades, once affectionately writing in an autograph for the prime minister: ""bibi, i don't agree with a damn thing you say but i love you.""their relationship was tested when in 2010 biden first visited israel as vice president. hours after he touched down in tel aviv, the israeli government announced it was adding 1,600 housing units for jews to an east jerusalem settlement. biden condemned the move as""precisely the kind of step that undermines the trust we need right now,"" but netanyahu's allies said he'd been blindsided by the announcement from his interior minister.netanyahu was an outspoken critic of the iran nuclear deal under the obama administration while biden was vice president. after trump did away with the deal, the biden white house has said iran must make the first move to return to compliance and stop enriching uranium for a new deal to be reached.click here for the fox news appbiden's team has made clear he would consult with israel before drawing up the deal again, though netanyahu is expected to remain in opposition to the deal.the associated press contributed to this report. ",10.0,1.0,0.0,0.0,0.31124005690217016,0.5474759571254253,0.14128398504108192,-0.26356983934285416,0,0,0,0,-2.635698393428542,,,
Israel's Netanyahu blames Iran for cargo ship attack | Fox News,2021-03-01 11:42:00,4.0," close video us airstrike to sent 'unambiguous message' to iran: white house fox news white house correspondent peter doocy has the details on 'special report'israeli prime ministerbenjamin netanyahuon monday accused iran of attacking an israeli-owned ship in the gulf of oman last week, a mysterious explosion that further spiked security concerns in the region.without offering any evidence to his claim, netanyahu toldisraelipublic broadcaster kan that ""it was indeed an act by iran, that’s clear.""""iran is the greatest enemy ofisrael,i am determined to halt it. we are hitting it in the entire region,"" netanyahu said. iran promptly dismissed the charges. in this august 2020, photo, the vehicle cargo ship helios ray is seen at the port of chiba in chiba, japan. an explosion struck the israeli-owned helios ray as it sailed out of the middle east on friday. (ap) iran rejects offer of direct us nuclear talks, senior diplomats saythe blast struck the israeli-owned mv helios ray, a bahamian-flagged roll-on, roll-off vehicle cargo ship, as it was sailing out of the middle east on its way to singapore on friday. the crew was unharmed, but the vessel sustained two holes on its port side and two on its starboard side just above the waterline, according to american defense officials.the ship came to dubai’s port for repairs on sunday, days after the blast that revived security concerns in mideast waterways amid heightened tensions with iran.iran has sought to pressure the u.s. to lift sanctions on tehran as president joe biden's administration considers optionsfor returning to negotiations with iran over its nuclear program. biden has said repeatedly the u.s. would return to the nuclear deal between tehran and world powers that his predecessor, donald trump, withdrew from in 2018 only after iran restores its full compliance with the accord.the explosion on the israeli-owned ship last week recalled the tense summer of 2019, when the u.s. military accused iran of attacking several oil tankers in the gulf of oman with limpet mines, designed to be attached magnetically to a ship’s hull. the gulf of oman leads through the narrow strait of hormuz, a vital passage for the world’s oil supplies. tehran has denied the accusations that it was behind the limpet mine attacks. us airstrike on iran-backed forces in syria was 'good call': keane fox news senior strategic analyst gen. jack keane breaks down the biden administration's first known military action.pompeo says biden’s moves on iran, houthis precursors to re-entering ‘crazy, crappy’ nuclear dealit remains unclear what caused friday's blast on the helios ray. the vessel had discharged cars at various ports in the persian gulf before the explosion forced it to reverse course. over the weekend, israel’s defense minister and army chief had both indicated they held iran responsible for what they said was an attack on the vessel.iran responded to netanyahu's statement saying it ""strongly rejected"" the claim that it was behind the attack. in a press briefing, foreign ministry spokesman saeedkhatibzadehsaid netanyahu was ""suffering from an obsession with iran"" and described his charges as ""fear-mongering.""khatibzadehalso accused israel of taking ""suspicious actions in the region"" against iran in recent months to undermine the 2015 nuclear deal, without elaborating, and vowed iran would respond.""israel knows very well that our response in the field of national security has always been fierce and accurate,"" he said. israeli prime minister benjamin netanyahu talks to the media on feb. 20. (ap) threat level raised for us troops in iraqovernight, syrian state media reported a series of alleged israeli airstrikes near damascus, saying air defense systems had intercepted most of the missiles. israeli media reports said the alleged airstrikes were on iranian targets in response to the ship attack.israel has struck hundreds of iranian targets in neighboring syria in recent years, and netanyahu has repeatedly said israel will not accept a permanent iranian military presence there. iran and its lebanese proxy hezbollah have provided military support to syrian president bashar assad in the more than decade-long syrian civil war.the israeli military declined comment.iran also has blamed israel for a recent series of attacks, including another mysterious explosion last summer that destroyed an advanced centrifuge assembly plant at its natanz nuclear facility and the killing of mohsenfakhrizadeh, a top iranian scientist who founded the islamic republic’s military nuclear program two decades ago. iran has repeatedly vowed to avengefakhrizadeh’skilling.click here to get the fox news app""it is most important that iran doesn’t have nuclear weapons, with or without an agreement, this i also told to my friend biden,"" netanyahu said monday.iranian threats of retaliation have raised alarms in israel since the signing of normalization deals with the united arab emirates and bahrain in september. ",7.0,1.0,0.0,0.0,0.33999629634698586,0.6315129328785198,0.02849076089582273,-0.41646236612258625,0,0,0,0,-2.915236562858104,-8.813016313476208,38.0,-0.23192148193358442
Israel's Netanyahu sends condolences to Rush Limbaugh's family ...,2021-02-18 13:19:00,5.0," close video biden will have call 'soon' with 'important' ally israel: white house white house press secretary jen psaki says president biden's first call to a leader in the middle east region will be to prime minister benjamin netanyahu.israeli prime minister benjamin netanyahu sent his condolencesto conservative radio host rush limbaugh's family in a thursday morning tweet.politicians, pundits and celebrities shared memories of limbaugh on wednesday following his wife's announcement that the radio host haddied after being diagnosed with late-stage lung cancerabout a year ago.""i send my heartfelt condolences to the family of rush limbaugh,"" netanyahu, a friend of former president trump, said in the tweet.""he was a great friend of israel and he stood by us through thick and thin, always firm, never wavering. we shall miss him dearly.""limbaugh was a staunch supporter of israel, much like his friend,the former president, who formally recognized jerusalem as israel's capital andhelped secure peace deals between israel and a number of middle eastern countries during his presidency.rush limbaugh, conservative talk radio pioneer, dead at 70the jewish telegraphic agency, an international jewish news website, announced the news of the radio host's deaththursday, saying his views ""sharply divided american jews.""zev chafets, a jewish biographer who wrote the 2010 book""an army of one"" covering limbaugh's life and career,said the media personality was ""very cautious about not saying anything disparaging american jews as a collective ever"" ina wednesday interview with the agency.twitter liberals celebrate rush limbaugh's death""it was very important considering the possibilities of anti-semitism on the right that the biggest and most powerful voice in that community over 30 years was very clearly anything but an anti-semite,""chafets said. radio talk show host rush limbaugh gestures as he makes remarks at the national association of broadcasters october 2, 2003 in philadelphia, pennsylvania. (photo by william thomas cain/getty images) the radio host is considered one of the most influential media figures in american history and has played a consequential role in conservative politics since ""the rush limbaugh show"" began in 1988. perched behind his golden eib (excellence in broadcasting) microphone, limbaugh spent over three decades as arguably both the most beloved and polarizing person in american media.click here to get the fox news appthe program that began 33 years ago on national syndication with only 56 radio stations grew to be the most listened-to radio show in the united states, airing on more than 600 stations, according to the show’s website. up to 27 million people tuned in on a weekly basis and limbaugh has lovingly referred to his passionate fan base as ""dittoheads,"" as they would often say ""ditto"" when agreeing with the iconic radio host.in his final radio broadcast of 2020, limbaugh thanked his listeners and supporters, revealing at the time that he had outlived his prognosis.""i wasn't expected to be alive today,"" he said. ""i wasn't expected to make it to october, and then to november, and then to december. and yet, here i am, and today, got some problems, but i'm feeling pretty good today.""tributes pour in for conservative 'legend' rush limbaugh: 'a hero for this country'fox news' brian flood contributed to this report. audrey conklin is a digital reporter for fox news digital and fox business. email tips toaudrey.conklin@fox.com or on twitter at @audpants.",2.0,1.0,0.0,0.0,0.03557983320206404,0.6530973017215729,0.3113228380680084,0.5686288981657291,0,0,0,0,1.1372577963314583,-8.789075805257962,34.0,-0.25850222956641067
White House declines to say whether Israel is an 'important' ally ...,2021-02-12 21:33:00,6.0," close video fox news flash top headlines for february 12 fox news flash top headlines are here. check out what's clicking on foxnews.com.the white housefriday sidestepped a question on whether israel and saudi arabia are ""important allies"" of the united states.after a back-and-forth with reporters during the daily white house briefing about president biden's failure so far to speak with israeli prime minister benjamin netanyahu, white house press secretary jen psaki was asked:""can you please just give a broad sense of what the administration is trying to achieve in the middle east? for example, does the administration still consider the saudis and the israelis important allies?""she responded:""well, you know, again, i think, we, there are ongoing processes and internal interagency processes, one that we, i think confirmed an interagency meeting just last week to discuss a range of issues in the middle east where we've only been here three and a half weeks.""and i think i'm going to let those policy processes see themselves through before we give kind of a complete lay down of what our national security approaches will be to a range of issues.""the white house has faced growing questions over why biden has failed to speak with the leader of israel, a longtime strategic partner in the middle east, since entering office more than three weeks ago.when pressed by reporters as to when the president will be making the call tonetanyahu,psaki said she could not give a time frame on when that could happen. ""i don't have an exact timeline to give you,"" she said. ""but i can assure you he will be speaking with the prime minister soon, and he's looking forward to doing that.""""we have a long and important relationship with israel,"" psaki said. the failure to call ""is just a reflection of the fact that we have been here for three and a half weeks,"" she said.""he's not called every single global leader yet."" even so, she acknowledged that biden has spoken with many of the united states' major allies.trump, who spoke to netanyahu two days after entering the white house, was repeatedly described by the israeli leader as a ""friend"" to the jewish state.biden spoke with the prime ministerten days after he was elected to the presidency, an encounter that netanyahu described as a ""warm conversation,"" though some thought the length in time it took for the congratulatory call signaled a change in tone, reported reuters.netanyahu took to twitter on nov. 8 to congratulate biden and his vice president kamala harrisbutreframed from publically calling biden president-elect as trump sought to overturn the election’s results.while the israeli prime minister has remained mum on his opinion on biden’s diplomatic tardiness, chairman for world likud, the global arm of netanyahu’s political party, took to twitter wednesday to acknowledge what some israeli’s see as a political snub.""might it now be time to call the leader of [israel], the closest ally of the [u.s.]?"" danon asked. ""the pm’s number is: 972-2-6705555,"" he added after first listing countries biden has called.the biden administration is expected to take a different approach to u.s.-israeli relations and will encourage a two-state solution between israel and palestine.but biden officials have made it clear they will not move the embassy back to tel aviv from jerusalem – a controversial move the former administration prioritized.biden promised from the campaign trail to be hard on saudi arabia, particularly when it came to their involvement in yemen’s six-year-long civil war.click here for the fox news app""we were going to in fact make them pay the price, and make them in fact the pariah that they are,"" biden said during a 2019 democratic primary debate. adding that there is ""very little social redeeming value in the present government in saudi arabia."" caitlin mcfall is a reporter at fox news digital covering politics, u.s. and world news.",3.0,1.0,0.0,0.0,0.13670342415571213,0.7681117256482443,0.09518485267957051,-0.11062676739147857,0,0,0,0,-0.3318803021744357,-3.1739730247667666,25.0,-0.12695892099067066
Israel's New Hope party to review ties with Lincoln Project | Fox News,2021-02-16 10:12:00,7.0," close video fox news flash top headlines for february 16 fox news flash top headlines are here. check out what's clicking on foxnews.com.jerusalem (ap) – a leading challenger to israeli prime minister benjamin netanyahu in elections next month said tuesday that he is reviewing his ties with the founders of the lincoln project — a republican group that opposed former president donald trump and whose leadership has been engulfed in a sexual harassment scandal.israel's new hope party, headed by netanyahu's former likud party rival gideon saar, hired several consultants from the lincoln project in january as campaign advisers in israel's upcoming parliamentary election.last week, revelations surfaced that the lincoln project knew about allegations of sexual harassment involving john weaver, one of its co-founders, several months before acknowledging them publicly.white house declines to say whether israel is an 'important' allynew hope said that it had never worked directly with the lincoln project or weaver, rather it had engaged four consultants from the organization: co-founders steve schmidt, rick wilson, stuart stevens and reed galen. schmidt resigned from the lincoln project last week. ""in any event, due to financial considerations, the contract with the consultants is under review, and in the coming days, we will examine the possibility of further cooperation,"" the party said.saar's new hope party, a hard-line nationalist faction made up mostly of former netanyahu allies, seeks to unseat the longtime prime minister in the march 23 vote, israel's fourth parliamentary election in four years. saar charges that likud has become the party of netanyahu and has lost direction.click here to get the fox news apprecent public opinion polls give saar a projected 13 seats in the 120-seat knesset, israel's parliament, enough to pose an obstacle to netanyahu's formation of a stable governing coalition. ",3.0,0.0,0.0,1.0,0.6294925436377525,0.3078765931228797,0.0626308744152387,-0.5969408039264805,0,0,0,0,-1.7908224117794416,-6.536379873909064,25.0,-0.2614551949563626
Netanyahu slams 'outrageous' anti-Semitic joke by 'SNL' star ...,2021-03-04 10:24:00,8.0," close video netanyahu blasts 'snl' joke about israel's vaccination campaign as 'so false' israel's prime minister benjamin netanyahu weighs in on the joke made last month by 'saturday night live' star michael che that many deemed 'anti-semitic.'israeli prime minister benjamin netanyahu slammed what he called an ""outrageous"" joke made recently by ""saturday night live"" star michael che that many deemed ""anti-semitic."" netanyahu told ""fox & friends"" on thursday that he thought the joke related to israel’s coronavirus vaccine rollout was ""so false."" ""israel is reporting that they’ve vaccinated half of their population. i’m going to guess it’s the jewish half,"" che said last monthon the show’s ""weekend update"" segment.""that’s outrageous,"" netanyahu said on thursday, speaking from jerusalem. ""in fact, i brought vaccines and went especially tothe arab communities, the arabcitizens of israel and vaccinated as manyas we can,"" he added.""i must’ve gone to half adozen arab communities already, talkedwith the mayors there, brought theleaders, brought the doctors there, arab doctors, this isjust outrageous."" the joke stoked the ire of viewers and pro-israeli groups like the american jewish committee (ajc), which created a petitionfor nbc ""to retract its outrageous claim and apologize immediately.""a week later, with no comment from the peacock network, ajc ceo david harris criticized nbc for not addressing the controversy on saturday night’s broadcast.""there was a chance for @nbc to apologize last night on @nbcsnl for last week’s antisemitic segment,"" harris wrote on twitter sunday. ""didn’t happen. corporate arrogance? corporate irresponsibility? corporate insensitivity? what the reasons, bad show, nbc! in an era of rising hate, nbc only added to it.""the ajc previouslyslammed the network for spreading ""lies"" about israel, playing into ""anti-semitic tropes"" and pouring fuel on ""surging anti-semitism.""this past saturday, dozens of people showed up to protest the joke from the week before about vaccinations in israel, the new york post reported. protest outside nbc studios against 'snl' star michael che's 'anti-semitic' joke plannedthe crowd reportedly chanted ""shame on nbc!"" and ""anti-semitism is not funny!"" outside nbc’s west 49th street entrance.fox news has reached out multiple times to nbc with a request for comment. last week they told fox news the network had no comment. an nbc spokesperson also did not immediately respond to fox news' request for comment on thursday. videoisrael’s prime minister also discussed the covid-19 vaccine rollout in the country with ""fox & friends"" on thursday, saying the country is ""rushing towards herd immunity."" netanyahu added that israel is ""setting the model for the world,"" regarding the country’s vaccination effort. ""we’re sharing our experiences with the u.s. [and] with every other country,"" netanyahu said. haaretz reported on thursday, citing data released by the health ministry, that more than half of israel’s population has been inoculated with the first dose of the covid-19 vaccine and more than a third of the population are receiving their second dose.the media outlet noted that according to the latest figures from wednesday, israel has inoculated nearly 4.9 million people, which is 53.2 percent of the population, adding that more than 3.5 million people, which is 39 percent of the population, have received the second dose of the vaccine.more than 90 percent of israelis 50 and over reportedly already received at least the first dose, with the highest inoculation rate among the 70-79 age group.netanyahu told ""fox & friends"" on thursday that ""90% of israelis, all ages above 16 years, have been jabbed atleast once, many of them twiceand the others are recovering."" he then explained how israel was able to accomplish that, citing ""quick decisions,"" a ""tremendousdistribution system"" and ""the mobilization of the citizenry,"" who he argued ""understood thattheir health and their livesdepended on it."" ""we’re very proud of this,"" netanyahu said. click here to get the fox news app""israel used to be known and isknown as a startup nation,"" he continued. ""from today, it’ll be also known as thevaccination nation."" netanyahu also noted on thursday that to compensate for the lost curriculum during the school year in israel, another month will be added in the summer ""to help close the gaps."" ""zoom is good, but it ain’t that good,"" netanyahu said, explaining that ""in-class learning turns out to be so valuable"" and ""especially important in the younger ages."" fox news’ bradford betz contributed to this report. talia kaplan is a reporter for foxnews.com. follow her on twitter @taliakaplan",10.0,1.0,0.0,0.0,0.11780652850866317,0.7075421541929245,0.17465132689103485,0.1450582001669971,0,0,0,0,1.450582001669971,-2.450099478810552,25.0,-0.09800397915242208
Kamala Harris speaks with Netanyahu in latest talk with a major ...,2021-03-04 19:27:00,9.0," close video israel updating plans to strike iranian nuclear sites: defense minister israeli defense minister benny gantz tells fox news' trey yingst his country is prepared to act independently against iran.vice president kamala harris and israeli prime minister benjamin netanyahu had a call thursday amid the middle eastern ally's growing tension with iran.earlier on thursday, israel's defense minister told fox news that his country was updating its plans to strike iranian nuclear sites and was prepared to act independently. just days prior, netanyahu had blamed iran for a mysterious explosion that impacted an israeli-owned cargo ship in the gulf of oman last week.the incident was just the latest to inflame tensions between the two nations and came as harris appears to be movingtowarda significantrole in foreign policy.according topolitico, harris is trying to carve out a specialty in foreign policy and is taking on responsibilities like solo meetings with foreign leaders.vp kamala harris holds calls with foreign leaders without bidenshe also participatedin the first bilateral meeting of the new administration between canada and the united states. biden reportedly didn't do the same as vice president in the obama administration.she has spoken to canadian prime minister justin trudeau and australian prime minister scott morrison.in february, president biden alsospoke with netanyahu about iran and working to advance peacein the region.according to harris' office, she reaffirmed the u.s.commitment to partnering with israel and supporting its security.""vice president kamala harris spoke today by phone with prime minister benjamin netanyahu of israel, and underscored the biden-harris administration’s commitment to the u.s.-israel partnership,"" a release read.""the vice president emphasized the united states’ unwavering commitment to israel’s security.she expressed strong support for israel’s recent groundbreaking normalization agreements with countries in the arab and muslim world, and stressed the importance of advancing peace, security, and prosperity for israelis and palestinians alike.""click here to get the fox news appit added: ""the vice president and prime minister agreed on the importance of continuing close cooperation and partnership on regional security issues, including iran’s nuclear program and the regime’s dangerous regional behavior,"" a release from harris' office read. sam dorman is a reporter with fox news. you can send tips on twitter @dormanindc or facebook at samdormanfoxnews.",4.0,1.0,0.0,0.0,0.1512145414017141,0.6366687268018723,0.21211673226207495,0.1945285450769812,0,0,0,0,0.7781141803079248,1.243251264355477,22.0,0.05651142110706713
