title,date,index,neg_s,neu_s,pos_s,compound_s,pos,neg,neu,compound
Israel announces new settlement homes in the West Bank | Fox News,2021-01-11 08:31:00,0.0,0.16647370633048317,0.5870750198761622,0.24645125912502408,0.22220815779207315,0,0,0,0
Israeli PM Netanyahu pleads not guilty to corruption charges as trial ...,2021-02-08 09:39:00,1.0,0.6581701742926318,0.20113177732319423,0.14069804384397636,-0.5161272701941625,0,0,0,0
"Biden, Israeli PM Netanyahu have 'warm and friendly' talk | Fox News",2021-02-17 16:27:00,2.0,0.015158340334892273,0.76301376024882,0.22182791928450266,0.4870590179883348,0,0,0,0
Psaki says Biden will speak with Netanyahu 'soon' after 3 weeks ...,2021-02-16 14:08:00,3.0,0.26557365942158195,0.5916789958351537,0.1427473518752346,-0.10094113423560225,0,0,0,0
Israel's Netanyahu blames Iran for cargo ship attack | Fox News,2021-03-01 11:42:00,4.0,0.2348059117794037,0.7108045497702228,0.05438955298935374,-0.24566211825395706,0,0,0,0
Israel's Netanyahu sends condolences to Rush Limbaugh's family ...,2021-02-18 13:19:00,5.0,0.034053824841976166,0.8108623623847961,0.1550838202238083,0.28995916088763446,0,0,0,0
White House declines to say whether Israel is an 'important' ally ...,2021-02-12 21:33:00,6.0,0.0624712907176997,0.8132944532803127,0.12423423458156842,0.1478703043208405,0,0,0,0
Israel's New Hope party to review ties with Lincoln Project | Fox News,2021-02-16 10:12:00,7.0,0.5536414161324501,0.40944847906939685,0.03691010316833854,-0.7634904902274264,0,0,0,0
Netanyahu slams 'outrageous' anti-Semitic joke by 'SNL' star ...,2021-03-04 10:24:00,8.0,0.14436146643544948,0.6270615368017128,0.22857700494517172,0.23066054266872785,0,0,0,0
Kamala Harris speaks with Netanyahu in latest talk with a major ...,2021-03-04 19:27:00,9.0,0.13957776566967367,0.6282278418540954,0.23219440057873725,0.24746360479330246,0,0,0,0
Israel voting in elections as Netanyahu's fate is in the air | Fox News,2021-03-23 14:05:00,10.0,0.44216518840819063,0.3536326478767608,0.20420216347390255,-0.20832775360258562,0,0,0,0
Israeli president picks Netanyahu to try and form government | Fox ...,2021-04-06 08:56:00,11.0,0.6309550148745378,0.19606547246997555,0.17297950346643726,-0.5350583963304225,0,0,0,0
Netanyahu brushes off Biden call for 'significant de-escalation' in ...,2021-05-19 12:19:00,12.0,0.6624125889502466,0.2009958737762645,0.1365915487986058,-0.5318694934154294,0,0,0,0
"Netanyahu says Israel wants to 'degrade' Hamas' will, warns ...",2021-05-16 12:59:00,13.0,0.19769105000887066,0.6065665763647606,0.19574237013390908,0.14231728560268853,0,0,0,0
"Biden calls Netanyahu, says Israel 'has right to defend itself' against ...",2021-05-12 19:35:00,14.0,0.02892217633780092,0.876622274518013,0.09445555182173848,0.15855378181599175,0,0,0,0
"Netanyahu, in front of Blinken, says US should stay away from Iran ...",2021-05-25 09:11:00,15.0,0.14592078879762155,0.551587130014713,0.3024920838383528,0.21711131633464376,0,0,0,0
Israel Prime Minister Netanyahu fires back at coalition effort to oust ...,2021-05-30 14:59:00,16.0,0.4109195093624294,0.33161194979523617,0.25746857045063126,-0.11337817242068886,0,0,0,0
Netanyahu calls state of emergency after violent clashes in Lod | Fox ...,2021-05-11 21:03:00,17.0,0.07478655129671097,0.8271815776824951,0.09803184121847153,0.05614449197480283,0,0,0,0
Netanyahu adviser Mark Regev says Hamas should 'think twice ...,2021-05-23 09:18:00,18.0,0.11430493160150945,0.6459896066891295,0.23970545728557877,0.2991274879673457,0,0,0,0
Israeli airstrike kills top Hamas commander as Netanyahu vows 'iron ...,2021-05-12 12:19:00,19.0,0.02984927361831069,0.6699223220348358,0.30022840946912766,0.6533508458142238,0,0,0,0
"LIVE UPDATES: Israeli strike takes out top Hamas terrorist, Biden ...",2021-05-12 21:06:00,20.0,0.3986358642578125,0.44506651163101196,0.1562976986169815,-0.7965119646013314,0,0,0,0
Michael Goodwin: Israel vs. Hamas – Biden should let Netanyahu ...,2021-05-17 08:00:00,21.0,0.8423109650611877,0.10129112750291824,0.056397948414087296,-0.9999999999999336,0,0,0,0
"Israel, Netanyahu continue to defy Biden with airstrikes amid more ...",2021-05-20 08:43:00,22.0,0.48127902392297983,0.38360055894590916,0.13512039333581924,-0.29879632533533823,0,0,0,0
Netanyahu touts Hamas commanders killed in strikes: 'blood is on ...,2021-05-11 21:53:00,23.0,0.02307308471063152,0.9498065412044525,0.02712038392201066,0.00800001233978362,0,0,0,0
Netanyahu calls out the AP after claiming they weren't warned about ...,2021-05-16 17:03:00,24.0,0.21903954520821572,0.6394663333892823,0.1414940983057022,-0.14056802064844526,0,0,0,0
