title,date,index,neg_lbl,pos_lbl,neu_lbl,neg_s,neu_s,pos_s,compound_s,pos,neg,neu,compound
"Trump slams his VP, says Pence 'didn't have the courage' to ...",2021-01-06 14:44:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Trump endorses Sarah Huckabee Sanders for Arkansas governor ...,2021-01-25 23:54:00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"Trump pardons Steve Bannon, Lil Wayne, dozens of others; also ...",2021-01-20 12:05:00,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Capitol rioters could face up to 10 years in prison under Trump ...,2021-01-07 14:38:00,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Trump acknowledged he bears some blame for Capitol riot in ...,2021-01-11 20:00:00,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"Trump condemns 'heinous attack' on Capitol, calls for 'healing and ...",2021-01-08 07:43:00,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Audio released of Trump call to Raffensperger | Fox News,2021-01-04 03:52:00,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"Trump says he, Pence in 'total agreement' VP has 'power' to block ...",2021-01-05 22:59:00,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"Trump departs White House, tells supporters in final address as ...",2021-01-20 09:35:00,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"Trump supporters, lawmakers react to Twitter ban | Fox News",2021-01-08 21:29:00,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Trump does not have future in Republican Party after Capitol riot ...,2021-01-13 17:23:00,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Twitter suspends @realDonaldTrump account permanently | Fox News,2021-01-08 22:10:00,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"Biden to sign 17 executive actions, orders to reverse Trump policies ...",2021-01-20 05:05:00,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"As Trump's border wall tops 450-mile goal, CBP chief says more ...",2021-01-05 13:04:00,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Trump signs anti-female genital mutilation law that increases ...,2021-01-06 14:43:00,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Trump urged Georgia election official to 'find' votes in phone call ...,2021-01-03 16:56:00,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"Trump impeached by House over Capitol riots, becomes first ...",2021-01-13 16:36:00,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Jonathan Turley: It's legally absurd to claim Trump committed crime ...,2021-01-06 05:00:00,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Trump says election was 'stolen' and 'these are the things and ...,2021-01-06 18:44:00,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
New York jeweler shares Tiffany Trump engagement ring details ...,2021-01-22 12:01:00,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Harvard students seek to revoke Trump graduates' diplomas after ...,2021-01-14 19:32:00,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Ari Fleischer: Trump is a political wrecking ball — but with ...,2021-01-15 06:00:00,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
